Group	Tag	SampleSizes	Samples
Methylation	Methyl_mCG	246	CIMBL116,CIMBL23,CIMBL25,CIMBL28,CIMBL3,CIMBL96,CIMBL51,CIMBL4,CIMBL18,CML285,CML122,CML307,CML223,CIMBL2,CIMBL63,CML451,CIMBL22,CIMBL20,CIMBL33,CML360,CIMBL11,CIMBL37,CML139,CML411,CML493,CML32,CIMBL70,CML69,CML29,CML121,CML171,CML28,CML162,CML172,CML168,CIMBL56,CML432,CIMBL48,CML27,CIMBL7,CML361,CIMBL72,CIMBL133,CIMBL68,CIMBL74,CML163,CML470,CIMBL53,CIMBL108,CIMBL44,CIMBL126,CIMBL40,CIMBL131,CML40,CIMBL110,CIMBL82,CML226,CIMBL49,CML426,CIMBL107,CIMBL112,CIMBL88,CIMBL92,CIMBL41,CIMBL105,CML170,S37,CIMBL66,CML431,CML423,CIMBL69,CIMBL94,CIMBL125,CIMBL91,LY,SW92E114,CIMBL114,CIMBL71,CIMBL86,CML428,CIMBL75,CIMBL127,CIMBL140,CML471,CIMBL155,CIMBL148,CIMBL42,CIMBL60,CIMBL83,CIMBL77,CML325,B11,CIMBL99,CML114,CML323,CML189,CML327,CIMBL150,CIMBL14,CML134,CML192,CIMBL130,CIMBL76,CIMBL152,CML130,CML324,B73,GEMS21,GEMS63,GEMS64,GEMS65,GEMS9,GEMS53,GEMS49,GEMS14,GEMS5,GEMS10,GEMS13,GEMS11,GEMS18,GEMS19,GEMS62,B110,CIMBL145,YE488,BEM,DAN360,K22,ZHENG29,ZHENG35,TIE7922,ZHENG58,M97,DAN340,975-12,A619,BY4839,BY4960,BY813,BY855,GY386,MO17,BY815,BY809,GY923,GY220,BY4944,4F1,GY462,IRF314,W138,GY237,JH59,JI846,YU374,238,GY798,GEMS33,GEMS56,GEMS47,DAN3130,RY732,SY3073,RY697,SY1035,SY1052,SY1032,GEMS37,HYS,HZS,04K5686,BS16,TIAN77,177,DAN599,LG001,P138,P178,QI319,SHEN137,TY3,ZHENG30,501,TY2,TY7,TY1,TY6,TY8,TY10,YU87-1,TY11,TT16,CIMBL129,CIMBL151,CIMBL43,GEMS31,CIMBL9,GEMS28,GEMS32,CIMBL95,CIMBL13,CIMBL154,CIMBL138,CIMBL17,CF3,LIAO159,832,L3180,CIMBL8,CIMBL10,B111,GEMS29,GEMS3,CIMBL141,GEMS24,150,812,ZHENG653,8902,LIAO5263,RY713,ZHI41,7327,GEMS60,JI63,QI205,LV28,ZZ01,ZHENG22,CIMBL137,ZB648,TX5,WMR,WU109,JY01,05WN230,DE.EX,268,1323,384-2,SI273,DAN598,Z2018F,LXN,CHENG698,07KS4
Methylation	Methyl_mCHH	246	CIMBL116,CIMBL23,CIMBL25,CIMBL28,CIMBL3,CIMBL96,CIMBL51,CIMBL4,CIMBL18,CML285,CML122,CML307,CML223,CIMBL2,CIMBL63,CML451,CIMBL22,CIMBL20,CIMBL33,CML360,CIMBL11,CIMBL37,CML139,CML411,CML493,CML32,CIMBL70,CML69,CML29,CML121,CML171,CML28,CML162,CML172,CML168,CIMBL56,CML432,CIMBL48,CML27,CIMBL7,CML361,CIMBL72,CIMBL133,CIMBL68,CIMBL74,CML163,CML470,CIMBL53,CIMBL108,CIMBL44,CIMBL126,CIMBL40,CIMBL131,CML40,CIMBL110,CIMBL82,CML226,CIMBL49,CML426,CIMBL107,CIMBL112,CIMBL88,CIMBL92,CIMBL41,CIMBL105,CML170,S37,CIMBL66,CML431,CML423,CIMBL69,CIMBL94,CIMBL125,CIMBL91,LY,SW92E114,CIMBL114,CIMBL71,CIMBL86,CML428,CIMBL75,CIMBL127,CIMBL140,CML471,CIMBL155,CIMBL148,CIMBL42,CIMBL60,CIMBL83,CIMBL77,CML325,B11,CIMBL99,CML114,CML323,CML189,CML327,CIMBL150,CIMBL14,CML134,CML192,CIMBL130,CIMBL76,CIMBL152,CML130,CML324,B73,GEMS21,GEMS63,GEMS64,GEMS65,GEMS9,GEMS53,GEMS49,GEMS14,GEMS5,GEMS10,GEMS13,GEMS11,GEMS18,GEMS19,GEMS62,B110,CIMBL145,YE488,BEM,DAN360,K22,ZHENG29,ZHENG35,TIE7922,ZHENG58,M97,DAN340,975-12,A619,BY4839,BY4960,BY813,BY855,GY386,MO17,BY815,BY809,GY923,GY220,BY4944,4F1,GY462,IRF314,W138,GY237,JH59,JI846,YU374,238,GY798,GEMS33,GEMS56,GEMS47,DAN3130,RY732,SY3073,RY697,SY1035,SY1052,SY1032,GEMS37,HYS,HZS,04K5686,BS16,TIAN77,177,DAN599,LG001,P138,P178,QI319,SHEN137,TY3,ZHENG30,501,TY2,TY7,TY1,TY6,TY8,TY10,YU87-1,TY11,TT16,CIMBL129,CIMBL151,CIMBL43,GEMS31,CIMBL9,GEMS28,GEMS32,CIMBL95,CIMBL13,CIMBL154,CIMBL138,CIMBL17,CF3,LIAO159,832,L3180,CIMBL8,CIMBL10,B111,GEMS29,GEMS3,CIMBL141,GEMS24,150,812,ZHENG653,8902,LIAO5263,RY713,ZHI41,7327,GEMS60,JI63,QI205,LV28,ZZ01,ZHENG22,CIMBL137,ZB648,TX5,WMR,WU109,JY01,05WN230,DE.EX,268,1323,384-2,SI273,DAN598,Z2018F,LXN,CHENG698,07KS4
Methylation	Methyl_mCHWG	246	CIMBL116,CIMBL23,CIMBL25,CIMBL28,CIMBL3,CIMBL96,CIMBL51,CIMBL4,CIMBL18,CML285,CML122,CML307,CML223,CIMBL2,CIMBL63,CML451,CIMBL22,CIMBL20,CIMBL33,CML360,CIMBL11,CIMBL37,CML139,CML411,CML493,CML32,CIMBL70,CML69,CML29,CML121,CML171,CML28,CML162,CML172,CML168,CIMBL56,CML432,CIMBL48,CML27,CIMBL7,CML361,CIMBL72,CIMBL133,CIMBL68,CIMBL74,CML163,CML470,CIMBL53,CIMBL108,CIMBL44,CIMBL126,CIMBL40,CIMBL131,CML40,CIMBL110,CIMBL82,CML226,CIMBL49,CML426,CIMBL107,CIMBL112,CIMBL88,CIMBL92,CIMBL41,CIMBL105,CML170,S37,CIMBL66,CML431,CML423,CIMBL69,CIMBL94,CIMBL125,CIMBL91,LY,SW92E114,CIMBL114,CIMBL71,CIMBL86,CML428,CIMBL75,CIMBL127,CIMBL140,CML471,CIMBL155,CIMBL148,CIMBL42,CIMBL60,CIMBL83,CIMBL77,CML325,B11,CIMBL99,CML114,CML323,CML189,CML327,CIMBL150,CIMBL14,CML134,CML192,CIMBL130,CIMBL76,CIMBL152,CML130,CML324,B73,GEMS21,GEMS63,GEMS64,GEMS65,GEMS9,GEMS53,GEMS49,GEMS14,GEMS5,GEMS10,GEMS13,GEMS11,GEMS18,GEMS19,GEMS62,B110,CIMBL145,YE488,BEM,DAN360,K22,ZHENG29,ZHENG35,TIE7922,ZHENG58,M97,DAN340,975-12,A619,BY4839,BY4960,BY813,BY855,GY386,MO17,BY815,BY809,GY923,GY220,BY4944,4F1,GY462,IRF314,W138,GY237,JH59,JI846,YU374,238,GY798,GEMS33,GEMS56,GEMS47,DAN3130,RY732,SY3073,RY697,SY1035,SY1052,SY1032,GEMS37,HYS,HZS,04K5686,BS16,TIAN77,177,DAN599,LG001,P138,P178,QI319,SHEN137,TY3,ZHENG30,501,TY2,TY7,TY1,TY6,TY8,TY10,YU87-1,TY11,TT16,CIMBL129,CIMBL151,CIMBL43,GEMS31,CIMBL9,GEMS28,GEMS32,CIMBL95,CIMBL13,CIMBL154,CIMBL138,CIMBL17,CF3,LIAO159,832,L3180,CIMBL8,CIMBL10,B111,GEMS29,GEMS3,CIMBL141,GEMS24,150,812,ZHENG653,8902,LIAO5263,RY713,ZHI41,7327,GEMS60,JI63,QI205,LV28,ZZ01,ZHENG22,CIMBL137,ZB648,TX5,WMR,WU109,JY01,05WN230,DE.EX,268,1323,384-2,SI273,DAN598,Z2018F,LXN,CHENG698,07KS4
Metabolite#secondary_meta#Fatty_Acids	oil	507	CIMBL116,CIMBL124,CIMBL23,CIMBL25,CIMBL26,CIMBL28,CIMBL3,CIMBL32,CIMBL61,CIMBL96,CIMBL98,CML228,CML289,CML408,CML479,CIMBL79,CIMBL51,CIMBL97,CIMBL4,CIMBL80,CIMBL21,CML454,CIMBL18,CML20,CML285,CML300,CML122,CIMBL52,CIMBL15,CIMBL27,CML307,CML225,CML286,CML223,CML486,CML115,CIMBL2,CML229,CIMBL19,CIMBL63,CIMBL128,CML451,CIMBL22,CIMBL20,CML468,CIMBL111,CIMBL33,CIMBL34,CIMBL87,CML497,CML287,CML480,CML360,CIMBL11,CML305,CIMBL37,CML139,CML411,CIMBL16,CIMBL35,CML493,CML32,CIMBL70,CML298,CML69,CIMBL100,CML29,CIMBL62,CML121,CML31,CIMBL122,CIMBL121,CML171,CML28,CML162,CIMBL6,CML172,CML168,CIMBL38,CIMBL56,CIMBL119,CML432,CIMBL48,CML27,CML496,CIMBL7,CML361,CIMBL113,CIMBL72,CIMBL78,CIMBL134,CIMBL31,CML282,CIMBL133,CIMBL68,CIMBL115,CIMBL74,CIMBL147,CIMBL50,CML163,CML470,CML338,CIMBL123,CIMBL118,CIMBL53,CIMBL108,CML465,CIMBL44,CIMBL126,CIMBL40,CIMBL81,CIMBL59,CIMBL131,CIMBL106,CML364,CML40,CIMBL110,CIMBL132,CIMBL82,CML165,CML226,CIMBL49,CML426,CML290,CIMBL39,CIMBL84,CIMBL107,CIMBL136,CIMBL67,CIMBL93,CIMBL5,CIMBL112,CIMBL117,CIMBL135,CIMBL46,CIMBL88,CIMBL92,CIMBL65,CIMBL41,CIMBL105,CIMBL58,CML170,CML115,S37,CIMBL66,CML431,CML423,CIMBL69,CIMBL94,CIMBL125,CIMBL149,CML422,CIMBL91,CML50,CIMBL104,SW1611,CIMBL120,LY,SW92E114,CIMBL114,CIMBL71,CIMBL86,CML113,CIMBL157,CIMBL102,CIMBL101,CIMBL156,CML428,CIMBL47,CIMBL89,CIMBL75,CIMBL127,CIMBL140,CML471,CIMBL155,CML415,CIMBL73,CIMBL57,CIMBL148,CIMBL42,CIMBL60,CIMBL153,CIMBL83,CIMBL77,CML118,CML51,CML325,B11,CIMBL85,CIMBL99,CML114,CML323,CML189,CIMBL90,CIMBL36,CML327,CIMBL150,CIMBL14,CML134,CIMBL54,CML192,CIMBL130,CML169,CIMBL76,CIMBL152,CML191,CML130,CML324,B73,GEMS21,GEMS51,GEMS52,GEMS63,GEMS64,GEMS65,GEMS66,GEMS9,GEMS53,GEMS49,GEMS17,GEMS6,GEMS14,GEMS20,GEMS15,GEMS23,GEMS55,GEMS5,GEMS10,GEMS13,GEMS11,GEMS18,GEMS16,GEMS4,GEMS19,ZHENG32,GEMS12,CIMBL144,GEMS50,GEMS62,P6WC,B110,CIMBL145,GEMS61,C8605,SHEN5003,XUN971,YE478,YE8001,YE488,BEM,DAN360,FCD0602,K22,ZHENG29,ZHENG35,LIAO5114,TIE7922,M153,M165,ZHENG58,HUANGC,M97,DAN340,3411,975-12,A619,BY4839,BY4960,BY813,BY855,GY386,GY386B,LK11,MO17,SI446,BY815,BY809,BY804,GY923,GY220,BY4944,BY843,CY72,4F1,ZI330,GY462,IRF291,IRF314,GEMS57,W138,GY237,JH59,ZONG31,JI846,GEMS58,YU374,ZONG3,238,JI842,SY1039,BY807,GY798,RY684,PH4VC,GEMS33,GEMS56,GEMS47,RY729,GY1032,GEMS43,SY998,HTH-17,SY999,DAN3130,ZAC546,GEMS59,GEMS36,RY732,GEMS41,SY3073,GEMS48,RY697,SY1035,SI434,SY1052,SY1032,GEMS37,HYS,WH413,HSBN,HZS,JI853,DH29,CHANG7-2,04K5686,XI502,H21,BS16,5237,S22,JING24,NMJT,MN,JIAO51,D047,BGY,DSB,S22,B151,TIAN77,04K5702,K12,177,18-599,D863F,DAN599,LG001,P138,P178,QI319,SHEN137,TY3,TY4,ZZ03,ZHENG30,501,TY5,TY2,TY7,TY1,TY6,835B,TY8,TY9,TY10,YU87-1,XZ698,TY11,526018,TT16,CIMBL129,CIMBL151,CIMBL43,GEMS31,GEMS25,SC55,CIMBL9,GEMS28,GEMS32,CIMBL139,GEMS30,BT1,CIMBL95,CIMBL13,CIMBL154,CIMBL138,CIMBL143,GEMS27,CIMBL146,CIMBL30,CIMBL17,CIMBL45,HUA83-2,647,CF3,LIAO159,GEMS2,GEMS54,832,L3180,CIMBL8,CIMBL10,CIMBL142,B111,NAN21-3,GEMS29,05W002,GEMS3,CIMBL141,GEMS24,150,ZH68,812,U8112,LIAO138,ZHENG653,LY042,ZHONG69,9642,3H-2,8902,9782,LIAO5263,CML326,LIAO5262,GEMS35,RY713,RY737,BZN,GEMS42,JI53,ZHI41,JING724,7327,DAN9046,CHUAN48-2,GEMS40,GEMS39,CHANG3,GEMS60,B114,YE52106,SY1077,K10,CIMBL1,GEMS46,JI63,CI7,7884-4HT,R08,QI205,E28,DONG237,B113,R15X1141,R15,LV28,GEMS1,ZZ01,B77,GEMS45,ZHENG22,YAN414,BK,SK,GEMS44,DONG46,CIMBL137,04K5672,ES40,DH3732,HB,303WX,YE515,ZB648,TX5,WMR,5311,Q1261,81162,WU109,JY01,05WN230,DE.EX,268,1323,EN25,ZHENG28,384-2,SI273,DAN598,Z2018F,LXN,CHENG698,07KS4,JH96C,DAN4245
